DAGBANI	ENGLISH
Kunduŋ yi kuhi ka bua bɔrigi kunduŋ gbaai.	If hyena cries that a goat is lost, it is the hyena that has caught it.
Di saha ka bɛ daa gbaai bua n-kɔrigi.	Then they caught a goat and slaughtered it.
m bi bɔri yi naɣikpahini naɣilahi bee yi buzɔna ni buhi.	I don't want bulls from your kraals or goats from your stables.
Jɛsi daa bo bɔrɔbɔro mini wain koligu pali ni busaa n-zaŋ pa buŋa zuɣu.	Jesse loaded a donkey with bread, a full wine-skin and a female kid.
ŋun’ bom bunyaŋ ŋun ka dalinli m-mali sara.	he should find a nanny-goat without blemish and make a sacrifice.
O daa piila bunyama kɔbisiyi mini bulahi pishi.	He chose two-hundred nanny-goats and twenty billy-goats.
Bulaa tulaale nyɛla o paɣa dulim.	The male goat’s perfume is the urine of its wife.
Yi ni tooi zaŋ bulaa ŋun be lala gba.	You can also use a male goat of the same sort.
Bɛ yi dɔɣi naɣibila bee piɛbila bee bubila, di simdi ka o be o ma sani n-niŋ daba ayopɔin.	If a calf is born, or a lamb or kid, it should be with its mother seven days.
Bɛ ni yino ni ti vɔri bubihi ata.	One of them will be leading three goat-kids.
jɛŋgbina mini bubihi ti laɣim doya.	leopards and goat-kids will lie down together.
Di nyɛla yɛlimaŋli, gunibu mali buchi la.	It is true, circumcision has a value.
Ninsala ni tooi mali buchi Naawuni sani?	Can a human being be useful to God?
Di nyɛla din ka buchi kaman kpatinari' zana chinchini la.	It is something unprofitable like a cloth of spiders' web.
ninvuɣu galima bɛn ka buchi laɣim na ti pahi o zuɣu.	some worthless fellows who were at a loose end joined him.
yi zaa nyɛla timalaannima bɛn ka buchi.	you are all doctors who have no use.
bɛ ni daa wum yɛltɔɣa shɛŋa maa daa bi ku ba buchi.	what they heard did them no good.
M mini kum kul chɛ tab'la kpe ni kpe, ka buchi bɔ ka kpamdi lan yɛn ku ma?	I'm only a step away from death and what further use is my seniority to me?
di bi ku buchi shɛli.	It didn't serve any purpose.
Gbaamiya saawara, amaa di ku ku buchi.	Take counsel, but it won't be of any use.
A kariti dolila buduli zaɣ’ bila.	You are chasing after a little flea.
bɛ naa ŋun be bɛ sani ni kahi o nɛma buɣi o bɔɣusapiŋ zuɣu.	their king that they have will pack up his belongings and carry them on his shoulder.
n naan zaŋ li buɣi m bɔɣisapiŋ zuɣu.	I would carry it on my shoulder.
A paɣa yi viɛla a ku tooi buɣir’ o ginda wuhiri niriba.	If your wife is beautiful, you can’t be carrying her on your shoulders going around showing her to people.
Simiɔn daa deei bia maa buɣi.	Simeon took the child in his arms.
Paul ni daa ti gbaai dunodura dubu, tɔbbihi maa daa kpuɣi o mi buɣi.	when Paul started going up the steps, the soldiers picked him up and carried him.
o daa kpuɣiri bihi maa buɣira.	he used to take the children in his arms.
o ŋmaligi tahi kpilikpariga ŋun daa sɔŋdi bipuɣiŋga maa ka o buɣiri baɣiri maa zuɣu.	he turned and rebuked the fairy who was helping the girl to practice divination.
Baɣa tooi buɣira, bɔ n-ku baɣa bia?	The diviner is able to see the hidden, what killed the diviner's child?
Biɛɣu ni daa neegi asiba ka dam maa yi o ninni.	In the morning, when the wine had worn off.
niŋ tampiligim buɣi yimaŋa n-kum.	dust yourselves with ashes and weep.
laɣimmiya Baal buɣibahi mini o jɛmdiba ni o tindaannima zaa na.	call together all the prophets of Baal, all his worshipers, and all his priests.
di ni nɛm o buɣibuɣi kaman zim la.	it will grind him fine like flour.
Ka a noli buɣibuɣi la lee be ya pumpɔŋɔ?	Where is your big talk now?
Buɣili yi kum buɣi' tindana n-kum ti o.	If a god cries it is its priest who makes it cry.
niriba tusa ayopɔin bɛn na bi jɛm buɣili Baal.	seven-thousand people who have never worshipped the god Baal.
bɛ daa kari bɛ buɣa ka jiɣiri biɛɣu neebu zuɣu.	they prayed to their shrines and waited anxiously for the dawn.
o daa kari o buɣa bahiri David zuɣu.	he was cursing David by his gods.
Kpakpiya buɣili pala naɣinyiya dini.	The gods of the tortoises are not the hyenas' own.
Kuɣidashɛɣu din tabili tia ni leei buɣili.	The stone that is leaning against a tree will turn into a shrine.
Buɣ’ tikpira ku yɛli wum.	A deaf god will not hear.
Naa Gbewaa ni daa kani n-naai.	After Naa Gbewaa had passed away.
Izraɛl Naa Sulemaana ni daa me buɣijɛmbo luɣ’ shɛŋa zali Jɛrusalɛm wulimpuhili polo.	the pagan shrines that King Solomon had built east of Jerusalem.
dabeenzɔriba mini bɛn ka yɛda ni halibiɛrinima ni ninvuɣukuriba ni zinniŋdiba ni baɣibuɣiriba ni buɣijɛmdiba ni ʒiŋmariba zaa.	cowards and the faithless and wicked and murderers and sexually immoral people and soothsayers and idolaters and liars all.
mali salima buɣilimbuɣilimbihi n-zaŋ li yiliyili di sunsuuni gili. A yi zaŋ salima buɣilimbuɣilimbila yili.	make little gold bells and hang them in between all round. When you hang a small bell.
buɣim daa yi tampiŋ maa ni na.	fire came out of the rock.
Buɣim mini dari m-bɔŋɔ.	here is the fire and the wood.
Nira ni tooi zaŋ buɣim buɣi ka di ku di o situra?	Can a person carry fire and not burn his clothes?
Di saha n-nyɛ yiliyiiniba gba dii yiini bɛ yila yɛri “Buɣim di ma mɔɣu ni ka n zo n-kuli n ya.	Then the singers also are singing their songs, that "Fire burned me in the bush so I ran to my hometown.
buɣim ni din ya.	you will be consumed by fire.
Tɔhinima naɣikpariba mini salinyɔriba gba kpaŋmi bɛmaŋa n-kpihiri bɛ buɣima.	Hunters, cattle-herders and charcoal-burners also should be careful to put out their fires.
o pa li dari zuɣu n-nyo li buɣim.	he put it on the wood and set fire to it.
o zaŋ li pa dari zuɣu n-nyo li buɣim.	he put it on the wood and set fire to it.
shɛli yi guui zani hal ni biɛɣ’ asiba, yin’ zaŋmiya li nyo buɣim.	if any is left till next morning, burn it.
tiŋ’ maa zaa taai la buɣim.	the whole town caught fire.
malaika maa daa zaŋ laa maa m-mooi bimbini maa zuɣu buɣim m-pal' li.	the angel took the bowl and brought fire from the altar and filled it.
buɣim-moori taha.	fire-pans.	
buɣim maa buɣim nɛm daa kpuɣi bimbini maa.	the flame of the fire caught the altar.
buɣim mokpalli daa kana ti kpe sunsuuni.	a flaming torch came between.
di ŋmanila buɣim sala ka a zaŋ pa bɛ zuɣuri ni.	it is like burning charcoal that you pile on their heads.
Yinim’ bahiyolinima ŋɔ, wariya ti kpe azaaba buɣim.	You accursed ones, go and enter the fire of Hell.
A yi wum ni buɣim bi kpɛri yidana duu, wahu m-bi kpe.	If you hear that fire does'nt enter the husband's room, a snake hasn't entered.
N zaŋla dari maa pirigili mali buɣim n-zaŋ bɔrɔbɔro mini nimdi she di buɣimsala ni ŋubi.	I took half of the wood and made a fire and roasted bread and meat on the coals and ate.
Sɛrafinima maa ni yino ŋun daa gbib’ buɣim sal’ neɔŋ.	one of the Seraphs took hold of a live coal.
Chama nti mooi buɣimsal’ nɛma.	Go and bring live coals.
Chɛ ka buɣim salinɛma lu bɛ zuɣu.	Let burning coals fall upon them.
bee n-zaŋ o nutali buɣisi sagbana yɛliŋ.	or measure the breadth of the sky with the palm of his hand.
Wahu bi doya ka bɛ lan buɣisiri kaɣili.	A snake doesn't lie there while they measure it with a cornstalk.
bɛ ku zaŋ na’ so m-buɣisi a hali ni a nyɛvili tariga.	all your life there will be no king to compare with you.
Zaŋmi bɛ ni buɣisi yɛli shɛm maa buɣisi n ni yɛli shɛm.	Compare their divinatory responses with what I say.
Chɛliya ka bɛn tɔɣisiri anabitali yɛltɔɣa puuni niriba ata bee ayi tɔɣisi; ka chɛ ka bɛn kpalim buɣisi bɛ ni yɛli shɛm maa.	Let two or three prophets speak, and the others should weigh carefully what is
Buɣisi ti ma ka m bi mi, di zuɣu bɛ ku gbaai ma.	Investigate me, and if I never did it then I won't be arrested.
Buɣisi ti ma ka m bi niŋ, di zuɣu bɛ ku gbaai ma.	Investigate me, and if I never did it then I won't be arrested.
Ŋuni ka yi lee yɛn zaŋ ma buɣisi ka nya ka m mini o saɣi?	To whom will you compare me or count me equal?
bɛ daa buɣisi Naawuni ni bɛ nya.	they put God to a test to see.
A ni buɣisi shɛm ŋɔ ka daɣila ayodin yi pooi niri niŋgbuna ni di ni tooi chɛ ka dɔro shɛli gbaagi o?	With you description so a lack of iodine in a person's body can lead to an attack of a disease?
Yi ni buɣisiri tiri yi taba shɛm.	How you measure out to give to your colleagues.
Masia daarzichi din ka buɣisibu.	the incomparable riches of Christ.
pɔhim kpiɔŋ din piligiri yiya mini shikuriti ni feera duri ka di ka buɣisibu.	a strong wind which un-roofs houses, schools and stores in an unprecedented way.
Ka di ka zaŋ-buɣsi.	it has no take-and-compare.
bɔ ka nira lee yɛn zaŋ Naawuni ŋmahindi bee bɔ ka nir’ lee yɛn zaŋ o buɣisi?	what can a person compare with God or what can he find to resemble him?
Bɛ yi mali bɛmaŋ’ m-maɣisiri taba, ka mali bɛmaŋ’ buɣisiri taba.	When they use each other to measure and compare each other.
bɛ daa zaŋ bimbuɣisirigu bahi kom ni ni bɛ zahim kom maa ziliŋ.	they took their measuring equipment and threw it in the water to measure the depth of the water.
be daa zaŋ bimbuɣisirigu din ŋmani jaaŋgbee ti ma.	They gave a measuring equipment that resembled a walking-stick to me.
Bɛ buɣisi bɔhiri.	They asked by signs.
O buɣisi ni o bɔri la bin'shɛɣu n' o sabi la.	He made signs to indicate that he wanted something to write with.
bɛ daa buɣisi bɔhi o ba Zakaria, Ka o mi buɣisi yɛli ba ni bɛ timi o gbaŋ.	hey asked his father Zechariah by signs, And he for his part made signs that they should give him paper.
So bi lahi buɣisi ni o bɔhi o bɔhigu.	Nobody else attempted to ask a question.
m bɔri ni n zaŋla ninsala yɛla buɣisi yɛlli ŋɔ.	I want to use an example from everyday life to illustrate this.
ka di ka zaŋ buɣisi.	perfectly.
O bi lan buɣisi yiɣibu.	He didn't dare to get up again.
Dimbɔŋɔ nyaaŋa ka so daa bi lan buɣisi ni o bɔhi o bɔhigu yaha.	After this no one dared to ask him any more questions.
Ninsala sula buɣisibu, ka Naawuni su niŋbu.	Human beings are in charge of attempting, but God is in charge of doing.
Ninsala sula buɣisibu, ka Naawuni su niŋsim.	Human beings are in charge of attempting, but God is in charge of doing.
di daa nyɛla wahala din ka buɣisibu.	it was trouble that was unbearable.
Zaŋmi bɛ ni buɣisi yɛli shɛm maa buɣisi n ni yɛli shɛm.	Compare their divinatory responses with what I say.
bɛ ku mali binyɛr’ viɛla yɛra, naɣila buri.	they won't have nice clothes to wear, but rather sackcloth.
Pirigimi a buɣu ŋɔ mini a namda ŋɔ.	Take off your sacking loincloth and your sandals.
yi kummi ka fabili, ka pini zuɣukpina, ka pili buri.	you-all must weep and complain and shave your heads and put on sackcloths.
Dimbɔŋɔ zuɣu somiya buri.	Because of this wear sackcloth.
o daa toogi o binyɛrigu, ka zaŋ buɣu so o shee ni n-kum o bia maa.	he tore his garment and dressed in rough cloth around his waist.
A yi buhimdi so saɣim n-dira nyin' miri ka yɛli ni o piɛbiri ʒiɛri maa zaa.	If you are eating where you have not been invited, you don't tell that person that he/she is drinking all the soup.
Yi mali bukaata pam gari noonsi!	You have much more value than birds!
O ka bukaali.	He is useless.
machɛli kuriti bidibbini din ni ku di bukaata.	the blacksmith forges a weapon fit for its work.
o daa zaɣisila bukaata kam kubu.	he refused to do anything useful.
o daa zaɣisila bukaata kam kubu, ka daa naɣi kuli gurila soya n-fari niriba buni n-dira.	he refused to do anything useful but just ambushed the paths and robbed people of their possessions.
Abu bi ku bukaali zuŋɔ.	Abu has done nothing today.
N dimnim’ maa kul bɔrila soli dabisili kam ni bɛ saɣim m bukaata.	My enemies are always looking for a way to harm me.
Tɔha gba tooi maani buɣim mɔɣu ni n-kuri o bukaatanima ka bi kpihiri li.	A hunter also can make a fire in the bush and be busy with his business and not put it out.
Bukpaha naa naai chi ku naai mɔri.	The chief of wizards finishes the millet farm, but cannot finish the grass.
Saul daa pun kari la bukpahinim’ mini jinwariba Izraɛl tiŋgbɔŋ ni zaa.	Saul had previously driven sorcerers and fire-dancers out of all the land of Israel.
N ni ti yihi bukpahigu yi kɔbili ni, ka baɣisi ti ku lan beni.	I will remove divination from among you and there will be no more soothsayers.
o daa warila bukpahigu ka wuhir’ omaŋa ni o nyɛla wɔɣirili.	he was practising sorcery and flaunting himself as some great one.
o bukpahitali maa tabibi tuma niŋ ba alahiziba pam.	he had astonished them with his sorcery.
Siɣimsiɣim bula ka n kul yɛri a?	How many times have I told you?
bula ka m mabia lee yɛn tum ma taali ka n kul chɛri paŋdi o?	how many times can my brother offend against me and I forgive him?
Kum mali ma ku tooi ko, di m-bulim ku tooi ko.	I am hungry cannot farm, I've eaten too much cannot farm.
bɛ ni ti sabi pa yuri bulimbuɣilinsi zuɣu.	they will write on the harness bells of the horse.
Alibarika ŋmambila pan siɣi bulli ni.	A small calabash that is blest will go into the deepest part of the river.
Bɛ daa yiɣi du zuɣusaa ha n-lab’ ti lu bulli ni.	They mounted up to the heavens and went down to the depths.
O daa nam bula niŋ di biɛhigu shɛhi.	He created the oceans and put them in their places.
Bimbilla nyɛla nyuya bulli ni.	Bimbilla is an ocean of yams.
bin blue la.	the blue thing.
zaɣ' blue nima la.	the blue ones.	
O yi ti nya waribariba ayiyi bee bumbariba bee laakumbariba.	If he should see horseriders in pairs, or donkeyriders or camelriders.
Shɛba daa ʒila zibisim mini bumbɔn’ ni.	some people sat in darkness and gloom.
ti bɔri neesim, amaa ka bela bumbɔn’ ni.	we want light, but are in gloom.
nachimbili so ŋun nyɛ bundana bee faralana.	a young man who is a rich person or a poor person.
di to ni bundana kpe alizanda nam ni.	it is difficult for a rich person to enter the kingdom of heaven.
Dinzuɣu ka bɛ leei wɔɣira ni bundaamba.	So they become rich and important people.
Yi pun niŋ bundaannima!	You have already become rich people!
o daa naɣi kuli gurila soya n-fari niriba buni n-dira.	he just did nothing but lie in wait by the roads and rob people of their wealth and take possession of it.
A yɛm mini a baŋsim maa ka a zaŋ bo buni ti amaŋa.	You used your wisdom and knowledge to seek riches for yourself.
Abram daa mali buni pam. O daa mali biŋkɔbiri.	Abram had great wealth. He had animals
Taaŋa ŋɔ mali anfaani pam n-ti Dagbamba, Dagbam' paɣaba nyari buni pam di ni.	The shea tree is very useful to the Dagomba, and Dagomba women make a lot of money out of it.
Absalom ba o buntaaŋa zɔra, ka buntaaŋa maa daa ti yɛn zaŋ o gari puhii titali gbini.	Absalom  escaped riding a mule, and the mule was taking him under a big ackee tree.
yuri mini buntaansi ni laakumnima ni bunsi.	horses and mules and camels and donkeys.
kaman yɔɣuni buntaaŋa ŋun gɔri o ko la.	like a wild ass that wanders alone.
Siɣimsiɣim bunu ka Yɛhudianim fiɛbi ma.	Five times the Jews flogged me.
A yi bi gbɛri bunzɔŋ ni a bi mi ni noonsi n-nyɛri binfam.	If you don't slept in the hen's house you won't know that hens fart.
Binshɛɣu din kuri binkɔbiri bunzɔŋ ni din saɣindi bɛ gbandi.	the  thing that kills the sheep in the pen and that spoils their skins.
ŋun’ bom bunyaŋ ŋun ka dalinli m-mali sara.	he should get a female goat without blemish to make a sacrifice.
wɔhu bee buŋa bɛ ni zaŋdi galigɛ n-lɛri shɛb’ pɔi ka bɛ naanyi tumdi bɛ laamba yubu la.	horse or donkey that they first have to fit with a bit before they will obey their masters' will.
buŋ’ simsi langami.	a donkey needs a bridle.
bɛ ni shɛba daa zaŋ bunsi n-chaŋ ti ʒiri bɛ kawana.	some of them used donkeys to carry their corn.
buŋdibbila tuuli kam, yin’ zaŋmiya piɛɣu zali o zaani.	every firstborn male donkey, you must replace it with a sheep.
yi ni nya bunnyaŋ min’ o bia ka bɛ loya.	you will find a donkey tied up with her colt beside her.
Sali din mooi, dini n-shɛri buŋgu.	It is the potsherd that is red hot that is used to roast sesame seeds.
biritila o bimbira din nyɛ nili mini buŋgu.	he sows seeds which are nili and sesame.
Zawurugu zuɣu ka mani zaŋ m bɔɣu pari buŋgu.	It is because of the itching that I get from the husks of millet that I use my yam farm to plant sesame.
yi yihiri naanzua mini buŋgu ni nili zaka.	you give tithes of pepper, sesame and nili.
O bi zaŋdi kaburi jaambon’ titali buri buŋgu.	He doesn't use a big flail to thresh sesame.
O taɣi n yɔri la siɣimsiɣim bupia.	He changed my pay ten times.
pirigibu bupia puuni zaɣi yiniyini.	ten-ways division inside one piece per.
yi zabiri buri taba buri biɛɣu.	you are fighting and punching each other.
jɛrigu noli ni yɛtɔɣa lan bɔri buri tiri o.	the words of a fool also earn him a beating.
Ya’ buriginli daa lan ka n ni.	I no longer has an ounce of strength.
Nanima pisopɔin n-yi gahindi bindiri burisa din luri tiŋa n tooni.	It is seventy kings who used to pick up food-fragments which fell to the ground in front of me.
bɔrobɔro chɛhi mini zimburisa.	broken bread and fish-fragments.
O daa bɔrimi ni o diri bundan’ maa bindiri burisa din luri tiŋa.	He wanted to eat the rich man's food-scraps which fell on the ground.
N daa burisi ba ka no n-taai ba kaman soli zuɣu batibati la.	I pounded and trampled them like mud in the streets.
yiya bihi mi lu m-burisiburisi.	and small houses fell and shattered to pieces.
bɛ zaŋ sɔya balibu bushɛm n-tuhi nyaŋ ayodin Pauli dɔriti.	they have a large number of ways of overcoming iodine-deficiency diseases.
Masia pirigimi ʒii bu shɛm?	Is Christ divided in many pieces?
Siɣimsiɣim bushɛm ka o daa fa ba bahi.	So many times He rescued them.
di gari a ni di yɛn zaŋ laɣ’ shɛli bu padiriba paa ʒii buyi.	it is more than twice the money you would use to hire paid workers.
A daa pirigi teeku buyi ka chɛ ka a niriba doli tiŋgbani kuŋ zuɣu du.	You divided the sea in two and let your people go on dry land and cross.
Amaa m mali piɛ’ shɛba ka bɛ ka buzɔŋ ŋɔ ni.	But I have other sheep that are not in this fold.
m bi bɔri yi naɣikpahini naɣilahi bee yi buzɔna ni buhi.	I don't want bulls from your kraals or goats from your stables.
Jɛŋkuno yiɣi zani cha.	The cat jumped and stood upright.
O chaɣi o paɣa kukoli.	He gripped his wife's throat.
Situri shɛŋa bɛ ni mali wari waa ŋɔ n-nyɛ: lɔm, chaɣila mini mukuru.	The costume they wear to dance this dance is whiskers jingles and skirt.
o bipuɣiŋga n-daa daŋ o soli tuhibu na n-gbibi chɛɣisa chɛɣisiri ka wari waa.	his daughter was the first one to meet him on the way, and she was holding jingles and shaking them and dancing.
paɣiba daa ŋmɛri biŋkumda ka chaɣisiri chaɣisanim’ wari waa.	women were playing musical instruments and shaking shakers and dancing.
bɛ daa gbibi gungombihi din mali chaɣisa.	they held small drums which have jingles.
Gaɣili din pali bi chaɣisira, gaɣ’ sɔɣu n-chaɣisira.	The bottle that is full doesn’t shake, it is the bottle that is not full that shakes.
N naan chɛbisi a ni suhupiɛlli, ka ŋme goonjinim’ ka chaɣisi sayɛya ka yili yila niŋ a.	I would have farewelled you joyfully and played fiddles and shaken rattles and sung songs for you.
o bipuɣiŋga n-daa daŋ o soli tuhibu na n-gbib’ chɛɣisa chɛɣisiri ka wari waa.	his daughter was the first one to meet him on the way, and she was holding jingles and shaking them and dancing.
Bɛ zaŋ lɔɣu din chaɣisira n-nyaɣili o.	They hang a rattling quiver on him.
Bandɔɣu ni o yi yi saazuɣu n-chaɣisi lu tiŋ’ na, so yi bi paɣi o, ŋun’ ni paɣi omaŋa.	The lizard says that if it jumps down from above and falls to the ground, it will praise itself if no one else does so.
Di bemi kaman tiŋgban’ kuŋ din chaɣisi ka kom ka nimaani la.	It is like a dry land which is exhausted and there is no water there.
Tiŋgbaŋ kulim daa chaɣisi.	The soil's fertility had been exhausted.
yi niŋgbuna ni situra daa bi chahi.	the clothing of your body was not torn.
Bɛ daa bola bindira niŋ bɔto kura din chahi ka bɛ liɣiliɣi li.	They got food and put it into old sacks which were split and mended.
di ŋmani lɛla ni yi ŋubi chahi situra shɛli la.	it looks like the garment chewed to pieces by cockroaches.
N ni lan chahi yi sarisi ŋɔ.	I will again tear these veils of yours.
O ni daa nya Yisa ka o chahi pam.	when he saw Jesus he shrieked loudly.
Bɛ chahirimi, ka dimdi bɛ nyina.	They are shrieking and gnashing their teeth.
mani n-daa wuhi Ifriimnim’ chandi.	I was the one who taught the Ephraimites to walk.
To, chama a chandi! A yɛda niŋbu neegi a nina maa.	Right, off you go! Your faith has opened your eyes.
O chaŋ o chandi. He went for a walk.
N yila dunia ni na, n chaŋmi ti gɔŋgo ka chaŋchaŋ gili di ni.	I went out into the world and went and roamed and walked around.
n kuli chani gindi n-fabinda dabisi muni puuni zaa.	I am just going round complaining the whole day.
o daa chani o zaɣim ni napɔn zaŋa.	she was going round naked and barefoot.
O chaŋ o chandi.	He has gone on his journey.
Ka di chaŋ wula ka nandahima mali ma pam?	Why am I discouraged?
ti bi be ʒilinsi ni zaŋ chaŋ o yikombiɛri tuma la polo.	we are not in ignorance about his evil plots.
O dɔro maa niŋ chaa.	His sickness is better.
Zama maa bela chaa.	The crowd is scanty.
Jɛrigu yɛliya ni mana chaaya ashee di na wandimi.	The fool says the okro has finished fruiting, but it is still bearing fruit.
kaman tiŋgbaŋ’ kuŋ din tam chaai la.	like dry land with exhausted soil.
Malimi chaati ka di wuhiri a mini yi karɔŋ zɔŋ ni bihi wɔɣilim ni nyɛ shɛm.	Make a chart to show your own height and the heights of the members of your class.
di daa yi ti zibigi ka tibisa, o chɛri li mi.	when it was thick and heavy, he would cut it.
Ti Duuma, ti cham’ ba takɔbiri?	Our Lord, should we cut them with swords?
Di lan chaŋya ti chɛ mɔri na ti ti ba.	Don't you-people be going to cut grass for them any more.
o daa chɛ n-chihi wɔri shɛba bɛn kpalim zaa jila.	he hamstrung the rest of the horses.
saha shɛli Saul ni daa ti chɛ ŋun’ Dauda min’ o niriba maa kpe ni kpe ni o gbahi ba la.	while Saul was cutting off all the escape routes for David and his men so that he could catch them.
noonsi bi birita waamaa n-chɛra; bɛ mi ka kambɔna.	birds don't sow or reap or have granaries.
biribu saha mini chɛbu saha ni maasim saha ni tulim saha ni shɛɣu saha ni kikaa saha ni wuntaŋ’ ni mini yuŋ kul ni beni.	there will always be seedtime and harvest, cool time and hot time, rainy season and harmattan day and night.
A yi zaŋ kariwana tu yɛri so, nɔhi n-yɛn chɛ n-chihi li.	If you use corn seeds to make a string of beads to wear, it is fowls that will peck at them and tear them loose.
Bɔ saha ka niriba ŋɔ lee yɛn chɛ ma ʒiɛmbu?	When will these people stop underestimating me?
Bɔ saha ka niriba ŋɔ lee yɛn chɛ ma ʒiɛmbu?	When will these people stop looking down upon me?
paɣa maa daa chɛ o kochuɣu zali nimaani ka labi fɔŋ ni.	the woman left her waterpot standing there and went back to town.
bɛ daa dii chɛ bɛ lansi maa ka doli o.	they left their nets and followed him.
bɛ zaŋ nyini bahila katiŋ’ kaman bimpɔŋ la ka chɛ a gballi.	they throw you away like something rotten and leave your grave.
Haran daa ti kani ka chɛ o ba, o dɔɣiritiŋ’ din daa nyɛ Ur.	Haran died before his father, in the town of his birth Ur.
Chɛliya Naawuni jɛmbu duu tuma maa baalim.	Leave the work on God's temple in peace.
Bɔ saha ka a yɛn chɛ ka ti chɛ biɛhiŋ?	How long are you going to keep us in suspense?
o be o ko ka chɛ alahichinima.	he is set apart from sinners.
Alahachi kahigi wuhi mini taali chɛ m-paŋ.	Confession of sin and forgiveness.
Chɛli n daashilɔni taali.	Forgive my secret offence.
Biriginsim din ni kpɛhi nira alahichi ni ku chɛ.	Deception which brings a person into sin is unavoidable.
satahinsi maa mini sakuɣa maa daa chɛ, ka saa maa baai.	the thunder and hailstones stopped, and the rain slackened off.
bɛ daa bi tooi chɛ ka bɛ chɛ mɛbu.	they could not cause them to stop building.
bɔ saha ka a dimnim’ maa lee yɛn chɛ a labu?	when will your enemies going to stop laughing at you?
O bi che ma piibu di zugu.	He nevertheless chose me.
Chɛli di zaa ha ka chaŋ.	Stop all that and go.
Chɛliya ka bɛ niŋ kom biɛla tin ya na ka yi paɣi yi naba.	Let them bring a little water so you can wash your feet.
yi ni yi alahichi tumbu dabitim ni la zuɣu chɛ ka yi yipa leela wuntia daba.	your having come out of slavery to doing sin makes it possible for you now to become slaves to righteousness.
Chɛ ka ti boli paɣisarili maa na nti bɔh’ o nya.	Let's call the young woman here and find out.
o daa lee bi chami ka bɛ wurim bɛ ni daa jɛmdi buɣa luɣ’ shɛŋa la.	he didn't have them knock down the places where they worshipped idols.
Ti Duuma daa chɛ ka buɣim kana ti taai di nimdi maa.	the Lord caused fire to come and burn up the meat.
di zuɣu daa chɛ ka Ijipti tiŋgbɔŋ ni nima gbarigi zaa.	as a result, the people of Egypt were all exhausted.
o ʒim zuɣu chɛ ka niriba nya tiliginsim.	his blood enabled people to receive salvation.
Sɔɣimi ma ka chɛ ninvuɣu biɛri.	Hide me from bad people.
Zuɣusaa ni du ka chɛ tiŋgbani shɛm.	like how the heavens are higher than the earth.
Neesim shɛŋa neemiya zuɣusaa sagbana ni n-woligi wuntaŋ'ni ka chɛ yuŋ.	Let there be light in the clouds of the sky to separate the day from the night.
di yaaya so yuri ka chɛ so.	don't show favouritism to one person over another.
Di saha ka anabi Ibrahima daa zaŋ piɛlaa maa kɔrigi ka chɛ bii maa.	Then prophet Abraham slaughtered the ram instead of the child.
mani a dabili ŋɔ ni kpalim leegi n dan’ dabili ka chɛ bia maa.	I your servant will stay and become my lord's slave in place of the boy.
So daa naan ku tooi woligi suhupiɛlli tahigu vuri ka chɛ kuhigu vuri maa.	No one could distinguish the sound of joyful shouting from the sound of weeping.
Di bi tu ni a dii woligiri bia bindirigu di ko, ka chɛri yili maa zaa ni diri bindiri shɛli.	It is not necessary to make a difference between the child's food and what the rest the family eat.
O ni daa woligi Izraɛlnim’ bahi ka chɛ Juda zuliya saha shɛli maa.	When he separated the Israelites from the tribe of Judah.
di yɛliŋ mi chɛ biɛla ni di niŋ mita ayi.	it's breadth was nearly two metres.
o doli o chani turi o, ka labiri o kuɣa, ka toori taŋkpagu chɛri o.	he was going along cursing as he went and throwing stones at him and showering him with dirt'.
Ninvuɣu shɛba bɛn mali yaa ni ŋmanila gumdi, ka bɛ tuma be kaman chɛbili la.	The mighty menn will become tinder and their work will be like a spark.
Ti chɛbisi taba.	We took leave of each other.
N naan chɛbisi a ni suhupiɛlli, ka ŋme goonjinim’ ka chaɣisi sayɛya ka yili yila niŋ a.	I would have bid you farewell joyfully and played fiddles and shaken rattles and sung songs for you.
To, m mabihi, n chɛbisiri ya mi ŋɔ.	OK, my brethren, I am saying good-bye.
Jaŋa naba chɛbisi baa ma kuyili.	The monkey will not go to the funeral house of the dog’s mother.
ŋun’ kpalim ni o chɛbisi salo maa. O ni daa chɛbisi ba naai.	he stayed to dismiss the crowd. After he had bid them farewell.
Dinzuɣu di tuya ka o ʒini nimaani, ka yi bɔ cheche, motoo bee loori n kpuɣ'o kuna yiŋa.	So he must sit there while you get a bicycle, motorbike or car to take him home.
o ni ti zaŋ yi bidibisi niŋ chɛchɛbumbariba mini wɔribariba, ka bɛ be o chɛchɛbuŋ’ tooni.	He will take your sons and make them serve in his chariots and with his cavalry, and they will run before his chariot'.
Nyini ka n zaŋ ŋme wurim chɛchɛbuŋa, ka ku chɛchɛbunduhira.	I will use you to attack the chariot and kill the charioteer.
Firawuna yuri zaa mini o chɛchɛbunsi ni o chɛchɛbunduhiriba la zaa.	all Pharaoh's horses and chariots and charioteers.
a zaŋ sagbana leegi a chɛchɛbuŋa.	you use the clouds as your chariot.
o kpe n-ʒini o chɛchɛbuŋ’ din pahi ayi puuni.	should go and sit in his number-two chariot.
ka bɛ chɛchɛbunsi daa firi bayaɣiti ni n-kɔŋ chandi.	and their chariots sank into the mud and they couldn't move.
nyin’ lihimi o kaman chɛfira.	you should look on him as a pagan.
